What gender do you identify as?,What is your race/ethnicity? (Check all that apply),What is your year at New College?,"What is your Area of Concentration? (If not yet declared, put ""Undeclared"")",Which math classes have you taken at New College? (Check all that apply),"Are you considering, or did you ever consider a concentration in Math?",Are you interested in graduate school (in any discipline)?,"""I find mathematics interesting""","""Mathematics leads to many possible career opportunities""","""With practice, it is easy for me to improve my skills in math""","""Men are generally better suited to mathematics than women""","""Many people believe that men are better suited to mathematics than women""","""Some racial/ethnic groups are generally better suited to mathematics than others""","""Many people believe that some racial/ethnic groups are better suited to mathematics than others""",... compared to your high school student population?,... compared to the student population at New College?,... compared to your social group?,... compared to other students of your gender?,... compared to other students of your racial/ethnic group?,"Imagine the following scenario: in the first few weeks of a math class, you have had difficulty understanding the material and completing some of the assignments. How likely are you to drop the class?",Have you ever dropped or stopped attending a math class because you believed you were not going to do well?,"Compared to other subjects, do you feel more or less anxiety in mathematics classes?",How often are you concerned that your performance in math will confirm a negative stereotype about you?,Think about a typical math course you have taken at New College or imagine taking one. Did/do you feel comfortable or out of place?,Have you ever felt that you were perceived or treated differently in a math class due to your gender? ,Have you ever felt that you were perceived or treated differently in a math class due to your race or ethnicity? ,Are there any comments or thoughts you would like to add?
Male,White,Fifth or more,Undeclered,,No,Maybe,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Average,Above average,Above average,Average,Average,Neutral,No,A little more anxiety,Rarely,Neutral,No,No,
Female,White,Second Year,History,No math courses at New College,No,Yes,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,Average,Average,Average,Average,Average,Somewhat likely,No,Much more anxiety,Rarely,Very out of place,No,No,
Male,White,First Year,Philosophy,No math courses at New College,Yes,Yes,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Well above average,Average,Above average,Average,Average,Somewhat unlikely,Yes,A little more anxiety,Sometimes,Very out of place,No,No,
Genderfluid/ non binary,White,Third Year,Sociology/ Gender studies,Additional math courses not listed,Yes,Yes,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Average,Average,Below average,Somewhat likely,No,Much more anxiety,Often,Somewhat out of place,"Yes, but not at New College",No,
Female,White,Third Year,Psychology,Additional math courses not listed,No,Yes,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Sometimes,Neutral,No,No,
Female,White,First Year,Political science,No math courses at New College,No,Yes,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Average,Average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Never,Somewhat out of place,No,No,
Female,White,First Year,Undeclared,No math courses at New College,Yes,Maybe,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Above average,Average,Average,Average,Average,Somewhat unlikely,No,About the same,Rarely,Somewhat out of place,No,No,
Female,Hispanic or Latino,Second Year,Undeclared,Calc II,Yes,No,Agree,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Agree,Well above average,Above average,Well above average,Above average,Above average,Somewhat likely,No,Much less anxiety,Rarely,Somewhat comfortable,No,No,
Non-binary,White,Third Year,Philosophy and Mathematics,"Calc II, Discrete Math, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Above average,Above average,Average,Average,Neutral,No,Much more anxiety,Rarely,Somewhat out of place,No,No,
Female,White,First Year,Humanities,No math courses at New College,Yes,Yes,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Average,Above average,Above average,Average,Neutral,No,Much more anxiety,Rarely,Neutral,"Yes, but not at New College",No,
